DetNum	FrontCh	BackCh	min	max
21	2	0	-1.000	-0.500
21	2	1	-0.500	 0.000
21	2	2	 0.000	 0.500
21	2	3	 0.500	 1.000
21	3	0	-0.920	-0.510
21	3	1	-0.510	-0.070
21	3	2	-0.077	 0.337
21	3	3	 0.347	 0.767
22	0	0	-0.857	-0.440
22	0	1	-0.447	-0.033
22	0	2	-0.033	 0.380
22	0	3	 0.397	 0.793
22	1	0	-0.867	-0.453
22	1	1	-0.450	-0.050
22	1	2	-0.050	 0.377
22	1	3	 0.383	 0.780
22	2	0	-0.933	-0.517
22	2	1	-0.513	-0.110
22	2	2	-0.080	 0.320
22	2	3	 0.333	 0.750
22	3	0	-0.837	-0.440
22	3	1	-0.437	-0.020
22	3	2	-0.027	 0.383
22	3	3	 0.390	 0.803
23	0	0	-0.800	-0.410
23	0	1	-0.413	 0.023
23	0	2	 0.027	 0.450
23	0	3	 0.457	 0.863
23	1	0	-0.860	-0.453
23	1	1	-0.447	-0.037
23	1	2	-0.027	 0.397
23	1	3	 0.403	 0.800
23	2	0	-0.843	-0.440
23	2	1	-0.440	-0.027
23	2	2	-0.017	 0.387
23	2	3	 0.390	 0.800
23	3	0	-0.927	-0.493
23	3	1	-0.500	-0.067
23	3	2	-0.077	 0.353
23	3	3	 0.363	 0.783
24	0	0	-0.863	-0.447
24	0	1	-0.443	-0.037
24	0	2	-0.033	 0.387
24	0	3	 0.387	 0.797
24	1	0	-0.860	-0.447
24	1	1	-0.450	-0.040
24	1	2	-0.043	 0.387
24	1	3	 0.393	 0.797
24	2	0	-0.917	-0.503
24	2	1	-0.497	-0.080
24	2	2	-0.060	 0.343
24	2	3	 0.357	 0.777
24	3	0	-0.830	-0.443
24	3	1	-0.437	-0.020
24	3	2	-0.027	 0.387
24	3	3	 0.387	 0.810
25	0	0	-0.827	-0.400
25	0	1	-0.393	 0.017
25	0	2	 0.030	 0.440
25	0	3	 0.463	 0.873
25	1	0	-0.857	-0.447
25	1	1	-0.453	-0.037
25	1	2	-0.040	 0.380
25	1	3	 0.403	 0.797
25	2	0	-0.843	-0.440
25	2	1	-0.443	-0.033
25	2	2	-0.017	 0.380
25	2	3	 0.387	 0.797
25	3	0	-0.920	-0.490
25	3	1	-0.497	-0.067
25	3	2	-0.073	 0.353
25	3	3	 0.363	 0.780
26	0	0	-0.843	-0.440
26	0	1	-0.437	-0.037
26	0	2	-0.027	 0.380
26	0	3	 0.500	 1.000
26	1	0	-0.837	-0.403
26	1	1	-0.403	 0.010
26	1	2	 0.020	 0.437
26	1	3	 0.500	 1.000
26	2	0	-0.823	-0.430
26	2	1	-0.430	-0.023
26	2	2	-0.017	 0.397
26	2	3	 0.500	 1.000
26	3	0	-0.823	-0.427
26	3	1	-0.420	-0.017
26	3	2	-0.013	 0.390
26	3	3	 0.500	 1.000
27	0	0	-1.000	-0.500
27	0	1	-0.500	 0.000
27	0	2	 0.000	 0.500
27	0	3	 0.500	 1.000
27	1	0	-0.863	-0.450
27	1	1	-0.453	-0.043
27	1	2	-0.037	 0.383
27	1	3	 0.387	 0.787
27	2	0	-0.840	-0.440
27	2	1	-0.443	-0.037
27	2	2	-0.030	 0.383
27	2	3	 0.387	 0.790
27	3	0	-0.940	-0.503
27	3	1	-0.503	-0.073
27	3	2	-0.077	 0.343
27	3	3	 0.350	 0.767
